Time (ms), Speed (PPS),,,,
,,,,,
0,5,5,0,0,
5,10,5,0,0,
10,15,5,0,0,0
15,21,6,0,0,0
21,26,5,0,0,0
26,31,5,0,0,0
31,36,5,0,0,0
36,48,12,0,0,0
48,59,11,0,0,0
59,70,11,0,0,0
70,82,12,0,0,0
82,94,12,0,0,0
94,105,11,0,0,0
105,117,12,0,0,0
117,131,14,0,0,0
131,145,14,0,0,0
145,158,13,0,0,0
158,172,14,0,0,0
172,185,13,0,0,0
185,198,13,0,0,0
198,212,14,0,0,0
212,226,14,0,0,0
226,239,13,0,0,0
239,252,13,0,0,0
252,266,14,0,0,0
266,280,14,0,0,0
280,293,13,0,0,0
293,307,14,0,0,0
307,320,13,0,0,0
320,333,13,0,0,0
333,348,15,0,0,0
348,361,13,0,0,0
361,374,13,0,0,0
374,388,14,0,0,0
388,401,13,0,0,0
401,415,14,0,0,0
415,429,14,0,0,0
429,442,13,0,0,0
442,455,13,0,0,0
455,468,13,0,0,0
468,483,15,0,0,0
483,496,13,0,0,0
496,509,13,0,0,0
509,523,14,0,0,0
523,536,13,0,0,0
536,550,14,0,0,0
550,564,14,0,0,0
564,577,13,0,0,0
577,590,13,0,0,0
590,604,14,0,0,0
604,618,14,0,0,0
618,631,13,0,0,0
631,645,14,0,0,0
645,658,13,0,0,0
658,671,13,0,0,0
671,686,15,0,0,4.395604396
686,699,13,0,0,16.64050235
699,712,13,2,21.97802198,32.96703297
712,726,14,6,61.2244898,50.54945055
726,740,14,8,81.63265306,68.13186813
740,753,13,8,87.91208791,80.06279435
753,766,13,8,87.91208791,85.40031397
766,780,14,8,81.63265306,85.40031397
780,793,13,8,87.91208791,84.144427
793,807,14,8,81.63265306,86.3422292
807,821,14,8,81.63265306,87.59811617
821,834,13,9,98.9010989,88.38304553
834,847,13,8,87.91208791,88.38304553
847,861,14,9,91.83673469,91.83673469
861,875,14,8,81.63265306,90.42386185
875,888,13,9,98.9010989,88.22605965
888,902,14,9,91.83673469,89.6389325
902,915,13,7,76.92307692,88.55049712
915,928,13,9,98.9010989,88.55049712
928,943,15,8,76.19047619,87.76556777
943,956,13,9,98.9010989,90.74829932
956,969,13,8,87.91208791,90.74829932
969,983,14,9,91.83673469,91.83673469
983,996,13,9,98.9010989,87.29461015
996,1010,14,8,81.63265306,86.85504971
1010,1025,15,8,76.19047619,83.72579801
1025,1040,15,9,85.71428571,78.23129252
1040,1055,15,8,76.19047619,76.19047619
1055,1071,16,8,71.42857143,78.0952381
1071,1087,16,8,71.42857143,75.23809524
1087,1102,15,9,85.71428571,75.23809524
1102,1118,16,8,71.42857143,75.23809524
1118,1133,15,8,76.19047619,75.23809524
1133,1149,16,8,71.42857143,73.33333333
1149,1165,16,8,71.42857143,75.11904762
1165,1180,15,8,76.19047619,74.16666667
1180,1196,16,9,80.35714286,75.11904762
1196,1212,16,8,71.42857143,75.11904762
1212,1227,15,8,76.19047619,77.02380952
1227,1243,16,8,71.42857143,75.23809524
1243,1258,15,9,85.71428571,77.02380952
1258,1274,16,8,71.42857143,77.02380952
1274,1290,16,9,80.35714286,77.97619048
1290,1305,15,8,76.19047619,75.11904762
1305,1320,15,8,76.19047619,76.9047619
1320,1336,16,8,71.42857143,75.11904762
1336,1352,16,9,80.35714286,75.11904762
1352,1368,16,8,71.42857143,75.11904762
1368,1383,15,8,76.19047619,74.27871148
1383,1398,15,8,76.19047619,73.44537815
1398,1415,17,8,67.22689076,76.30252101
1415,1430,15,8,76.19047619,75.35014006
1430,1445,15,9,85.71428571,74.3977591
1445,1461,16,8,71.42857143,76.19047619
1461,1477,16,8,71.42857143,77.02380952
1477,1492,15,8,76.19047619,75.11904762
1492,1508,16,9,80.35714286,75.95938375
1508,1523,15,8,76.19047619,76.91176471
1523,1540,17,9,75.6302521,76.91176471
1540,1555,15,8,76.19047619,75.12605042
1555,1570,15,8,76.19047619,75.12605042
1570,1586,16,8,71.42857143,74.28571429
1586,1601,15,8,76.19047619,75.11904762
1601,1617,16,8,71.42857143,75.11904762
1617,1633,16,9,80.35714286,75.11904762
1633,1648,15,8,76.19047619,74.16666667
1648,1664,16,8,71.42857143,77.02380952
1664,1680,16,8,71.42857143,75.23809524
1680,1695,15,9,85.71428571,75.23809524
1695,1711,16,8,71.42857143,75.23809524
1711,1726,15,8,76.19047619,75.23809524
1726,1742,16,8,71.42857143,75.23809524
1742,1758,16,8,71.42857143,76.19047619
1758,1773,15,9,85.71428571,76.07843137
1773,1788,15,8,76.19047619,77.03081232
1788,1805,17,9,75.6302521,77.03081232
1805,1820,15,8,76.19047619,75.12605042
1820,1836,16,8,71.42857143,77.03081232
1836,1851,15,8,76.19047619,75.35014006
1851,1866,15,9,85.71428571,75.35014006
1866,1883,17,8,67.22689076,76.30252101
1883,1898,15,8,76.19047619,75.35014006
1898,1913,15,8,76.19047619,74.27871148
1913,1929,16,8,71.42857143,76.07142857
1929,1945,16,9,80.35714286,76.9047619
1945,1960,15,8,76.19047619,76.9047619
1960,1976,16,9,80.35714286,76.06442577
1976,1991,15,8,76.19047619,75.23109244
1991,2008,17,8,67.22689076,75.23109244
2008,2023,15,8,76.19047619,69.87394958
2023,2038,15,8,76.19047619,69.87394958
2038,2054,16,6,53.57142857,68.92857143
2054,2069,15,8,76.19047619,66.19047619
2069,2085,16,7,62.5,60.47619048
2085,2101,16,7,62.5,61.19047619
2101,2116,15,5,47.61904762,56.03641457
2116,2131,15,6,57.14285714,54.96498599
2131,2148,17,6,50.42016807,51.39355742
2148,2163,15,6,57.14285714,51.39355742
2163,2179,16,5,44.64285714,48.89355742
2179,2194,15,5,47.61904762,47.73809524
2194,2210,16,5,44.64285714,43.92857143
2210,2226,16,5,44.64285714,42.61904762
2226,2241,15,4,38.0952381,38.1372549
2241,2256,15,4,38.0952381,36.82773109
2256,2273,17,3,25.21008403,35.04201681
2273,2288,15,4,38.0952381,33.1372549
2288,2304,16,4,35.71428571,31.232493
2304,2319,15,3,28.57142857,29.55182073
2319,2334,15,3,28.57142857,25.74229692
2334,2351,17,2,16.80672269,22.40896359
2351,2366,15,2,19.04761905,20.26610644
2366,2381,15,2,19.04761905,18.1232493
2381,2397,16,2,17.85714286,18.57142857
2397,2413,16,2,17.85714286,18.33333333
2413,2428,15,2,19.04761905,16.42857143
2428,2444,16,2,17.85714286,14.53781513
2444,2459,15,1,9.523809524,12.87114846
2459,2476,17,1,8.403361345,10.96638655
2476,2491,15,1,9.523809524,9.180672269
2491,2506,15,1,9.523809524,9.06162465
2506,2522,16,1,8.928571429,7.380952381
2522,2538,16,1,8.928571429,5.476190476
2538,2553,15,0,0,3.571428571
2553,2569,16,0,0,
2569,2584,15,0,0,
